# Todt © HAN
ID	WCFS1.glc.1	WCFS1.glc.2	WCFS1.rib.1	WCFS1.rib.2	NC8.glc.1	NC8.glc.2	NC8.rib.1	NC8.rib.2
lp_0001	8100	9599	8144	7000	7117	8278	7457	6980
lp_0002	12679	15856	11539	11049	10815	14348	10552	10735
lp_0004	1795	1946	1470	1607	1489	1407	1587	1699
lp_0005	8538	8740	5699	7402	6497	8565	6581	8342
lp_0009	56040	42130	31941	23500	61965	37353	20498	18188
lp_0010	105615	90094	60086	52584	103873	91726	45530	44802
lp_0011	68724	63725	37616	37478	63512	66621	31123	31592
lp_0012	6956	7088	6693	7813	5982	6857	7613	8339
lp_0013	3968	3834	3215	4480	3153	4021	3562	4994
lp_0014	5029	4999	3983	4605	4206	4573	4658	5528
lp_0015	341	246	277	306	446	314	341	415
lp_0016	883	737	604	856	799	1038	956	1264
lp_0017	1546	1598	1217	1621	1621	1671	1961	2353
lp_0018	186	171	305	386	207	247	484	514
lp_0022	45	51	71	89	53	65	79	102
lp_0026	1248	1592	1549	1727	709	746	885	983
lp_0027	226	428	391	460	172	235	358	466
lp_0036	3684	4344	3041	3724	2991	4117	3802	4422
lp_0037	6402	6833	5198	5631	5289	5755	5452	5904
lp_0038	4327	4358	2923	3216	3456	3746	2752	3078
lp_0039	3073	3098	1788	2096	2120	2465	1463	1871
lp_0041	2912	2329	2743	3263	3053	2486	2803	3203
lp_0043	4982	4921	4781	4939	4874	5359	5809	6481
lp_0046	248	257	294	232	240	162	224	169
lp_0047	144	97	87	81	64	75	64	74
lp_0048	284	230	259	308	223	167	188	264
lp_0050	276	260	273	235	166	253	86	116
lp_0052	444	410	410	452	348	354	299	344
lp_0053	3998	4447	1734	1730	3633	3805	1784	1465
lp_0057	478	526	606	719	308	363	475	505
lp_0058	114	158	993	1219	120	198	1129	1274
lp_0059	84	73	191	122	62	36	97	108
lp_0060	15	26	26	48	17	24	23	27
lp_0061	75	63	64	110	49	57	55	71
lp_0062	49	52	65	89	49	50	42	62
lp_0063	27	23	581	612	34	43	632	699
lp_0066	277	334	330	292	329	322	243	263
lp_0068	488	611	482	511	531	509	569	577
lp_0070	441	487	940	970	761	1249	4289	4253
lp_0073	653	762	473	557	658	828	656	719
lp_0075	59	74	48	78	22	23	18	14
lp_0076	1058	964	908	1086	1126	1281	1359	1533
lp_0077	651	679	512	592	527	698	638	721
lp_0078	378	451	376	400	465	477	500	491
lp_0080	345	358	259	267	389	387	351	361
